Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
2009-11-10,109.30999755859376,109.93000030517578,108.97000122070312,109.58999633789062,84.1431655883789,171899800,106.16499938964844,107.2451534568394,2.978761720999863,63.57904632044939,0.44700682876991493,111.46516814974045,103.28783172818923,107.37649993896484
2009-11-11,110.30999755859376,110.81999969482422,109.62000274658205,110.1500015258789,84.57315063476562,169466200,106.73899917602539,107.77330765121022,5.497555466375862,65.54101069430746,0.6544678395615193,111.601911576891,103.23508869776721,107.4185001373291
2009-11-12,110.0,110.56999969482422,108.75,109.02999877929688,83.71319580078125,157144500,106.97699890136718,108.00179694722597,2.2315960800436145,58.534003541863584,0.7202052461288986,111.50341980545426,103.26558043868636,107.3845001220703
2009-11-13,109.30999755859376,110.08999633789062,108.75,109.62000274658205,84.16621398925781,150963000,107.58299942016602,108.29601618347252,5.851685332996999,60.97599743132003,0.8105672885947115,111.60506041102668,103.2369401688073,107.42100028991699
2009-11-16,110.37999725341795,111.69000244140624,110.31999969482422,111.20999908447266,85.38700103759766,210922200,108.27199935913086,108.82583125638163,6.604677348355362,66.82591907569969,0.9989638412575346,111.87778002973549,103.10622036699301,107.49200019836425
2009-11-17,110.91999816894533,111.38999938964844,110.5,111.33999633789062,85.48682403564453,147134100,108.94099884033203,109.28295218029236,6.392732646408371,67.27161468948722,1.145553925909823,112.24186163102893,102.95513849104138,107.59850006103515
2009-11-18,111.26000213623048,111.43000030517578,110.56999969482422,111.2699966430664,85.43306732177734,156486800,109.57599868774415,109.64423299170582,6.052228921979317,66.73518379531325,1.2417649404985838,112.65810700646414,102.84289244421946,107.7504997253418
2009-11-19,110.51000213623048,111.30999755859376,109.12999725341795,109.81999969482422,84.31976318359375,208734600,109.87299880981445,109.67619057409098,2.7795987488221208,56.386492293205094,1.1873235008950047,112.71866312761009,102.83133610945046,107.77499961853027
2009-11-20,109.25,109.76000213623048,109.01000213623048,109.43000030517578,84.02033996582031,134196000,110.10299911499024,109.63142870701549,2.1469272012741003,53.88910509541523,1.100028136778974,112.83757552932965,102.847423555143,107.84249954223633
2009-11-23,110.72000122070312,111.73999786376952,110.5999984741211,110.81999969482422,85.08758544921875,148010200,110.22799911499024,109.84753252298071,1.140823221211569,60.769896997588,1.129981541995889,113.17580968929349,102.90018899845066,108.03799934387207
2009-11-24,111.0,111.1999969482422,110.01000213623048,110.98999786376952,85.21809387207031,138420100,110.36799926757813,110.05525349403321,1.2774902570143103,61.54958883120069,1.1541331345803059,113.50171848976545,103.0312801674611,108.26649932861328
