,v,vw,o,c,h,l,t,n
263,69002457.0,116.3567,116.0,115.66,119.3457,114.76,1666756800000,645399
264,129580962.0,105.5936,113.92,110.96,114.12,109.77,1666843200000,1337216
265,223038298.0,100.7597,97.905,103.41,103.96,97.66,1666929600000,1866116
266,99248920.0,102.2496,103.56,102.44,104.87,100.74,1667188800000,755820
267,153370022.0,98.2156,103.99,96.79,104.58,96.06,1667275200000,1356112
268,135730798.0,94.8311,97.315,92.12,97.74,92.01,1667361600000,1199947
269,136651803.0,90.382,92.47,89.3,93.5,89.02,1667448000000,1217237
270,128579836.0,90.1098,91.49,90.98,92.44,88.04,1667534400000,1000081
271,77479228.0,90.1954,91.95,90.53,92.1,89.04,1667797200000,717300
272,87671870.0,90.2606,90.79,89.98,91.72,88.23,1667883600000,710063
273,90765821.0,87.0753,89.47,86.14,89.48,85.87,1667970000000,811927
274,173282812.0,95.5593,92.935,96.63,98.69,91.65,1668056400000,1275893
275,111558544.0,99.7744,97.88,100.79,101.19,96.66,1668142800000,865502
276,99533072.0,98.7897,98.77,98.49,100.1199,97.29,1668402000000,735582
277,111269317.0,100.1903,103.21,98.94,103.79,97.34,1668488400000,824194
278,87708828.0,97.0423,96.85,97.12,98.4879,95.54,1668574800000,679234
279,81597465.0,95.3654,95.37,94.85,96.97,94.03,1668661200000,632568
280,72413785.0,93.9287,95.95,94.14,95.99,92.48,1668747600000,553023
281,84317770.0,92.0876,93.97,92.46,95.02,90.59,1669006800000,679098
282,62166962.0,92.6175,92.62,93.2,93.35,90.87,1669093200000,454878
283,59414684.0,93.8426,93.24,94.13,94.58,92.83,1669179600000,433372
284,35088609.0,93.7731,93.79,93.41,94.43,93.065,1669352400000,297836
285,75062316.0,94.4403,93.93,93.95,96.4,93.43,1669611600000,572356
286,65567286.0,92.5691,94.04,92.42,94.41,91.44,1669698000000,535131
287,102805806.0,94.2545,92.47,96.54,96.54,91.525,1669784400000,698414
288,68487969.0,95.9432,96.99,95.5,97.23,94.92,1669870800000,566475
289,72496388.0,94.326,94.475,94.13,95.36,93.78,1669957200000,564715
290,71535526.0,91.9759,93.05,91.01,94.06,90.82,1670216400000,635423
291,75503628.0,88.9878,90.5,88.25,91.04,87.9,1670302800000,697936
292,68086880.0,88.3485,88.34,88.46,89.89,87.48,1670389200000,554420
293,73305887.0,89.9326,89.24,90.35,90.86,87.88,1670475600000,560413
294,67398506.0,89.4021,88.9,89.09,90.3,88.63,1670562000000,530211
295,61999762.0,89.3311,89.21,90.55,90.58,87.87,1670821200000,516683
296,100212038.0,93.1398,95.23,92.49,96.25,90.52,1670907600000,773656
297,70283506.0,92.1202,92.502,91.58,93.4581,89.87,1670994000000,542344
298,84802877.0,88.4099,89.89,88.45,89.97,87.47,1671080400000,698193
299,146144064.0,87.8097,88.265,87.86,89.35,86.73,1671166800000,629942
300,83530060.0,85.4789,87.51,84.92,87.63,84.51,1671426000000,746547
301,74348301.0,85.3938,85.33,85.19,86.61,84.33,1671512400000,536646
302,59067156.0,86.5524,86.175,86.77,87.225,85.21,1671598800000,466873
303,81431314.0,83.5866,85.52,83.79,85.68,82.25,1671685200000,701868
304,57433655.0,84.5241,83.25,85.25,85.78,82.9344,1671771600000,478256
305,57284035.0,83.7693,84.97,83.04,85.35,83.0,1672117200000,499691
306,58228575.0,82.3609,82.8,81.82,83.48,81.69,1672203600000,521291
307,54995895.0,83.7973,82.87,84.18,84.55,82.55,1672290000000,473303
308,62401194.0,83.186,83.12,84.0,84.05,82.47,1672376400000,482279
309,76706040.0,85.5452,85.46,85.82,86.96,84.205,1672722000000,575321
310,68885123.0,85.1301,86.55,85.14,86.98,83.36,1672808400000,575729
311,67930825.0,83.7788,85.33,83.12,85.42,83.07,1672894800000,532666
312,83303361.0,84.4954,83.03,86.08,86.4,81.43,1672981200000,657438
313,65266056.0,88.3985,87.46,87.36,89.48,87.08,1673240400000,590215
314,67685201.0,89.3736,87.57,89.87,90.185,87.29,1673326800000,523587
315,103126183.0,93.7151,90.93,95.09,95.26,90.93,1673413200000,741563
316,85254781.0,95.218,96.93,95.27,97.19,93.5,1673499600000,630928
317,85549432.0,96.997,94.18,98.12,98.37,94.12,1673586000000,619727
318,72755001.0,96.7656,98.68,96.05,98.89,95.73,1673931600000,600669
319,79532870.0,96.8796,97.25,95.46,99.32,95.38,1674018000000,581769
320,68915663.0,93.9022,94.74,93.68,95.44,92.86,1674104400000,502112
321,67141539.0,95.8223,93.86,97.25,97.354,93.2025,1674190800000,467435
322,76487303.0,97.2175,97.56,97.52,97.78,95.86,1674450000000,589238
323,66929452.0,97.0691,96.93,96.32,98.09,96.0,1674536400000,480419
324,94261570.0,94.5588,92.56,97.18,97.24,91.52,1674622800000,696993
325,68523557.0,98.522,98.235,99.22,99.49,96.92,1674709200000,531132
326,87775614.0,101.8376,99.53,102.24,103.485,99.53,1674795600000,645609
327,70691860.0,100.5827,101.09,100.55,101.74,99.01,1675054800000,566993
328,66527253.0,102.5976,101.155,103.13,103.3484,101.14,1675141200000,481184
329,80450121.0,103.7156,102.53,105.15,106.24,101.24,1675227600000,642368
330,157942363.0,111.3451,110.245,112.91,114.0,108.88,1675314000000,1209503
331,144343628.0,105.7858,105.26,103.39,108.78,102.52,1675400400000,1134293
332,81945199.0,102.246,102.925,102.18,103.9484,100.65,1675659600000,625158
333,119316301.0,100.2393,101.17,102.11,102.41,98.08,1675746000000,854814
334,74746154.0,100.1813,102.04,100.05,102.6699,98.775,1675832400000,548954
335,64568489.0,99.3668,101.32,98.24,101.78,97.57,1675918800000,560764
336,52733633.0,97.4738,97.56,97.61,98.8163,96.23,1676005200000,487987
337,52775864.0,98.8244,97.85,99.54,99.68,96.91,1676264400000,432119
338,56202698.0,99.0512,98.41,99.7,100.9207,97.52,1676350800000,458644
339,48053879.0,99.9413,99.09,101.16,101.17,98.45,1676437200000,412969
