date,open,high,low,close,volume,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
2023-06-02,210.15,217.25,209.752,213.97,164398372,237.795,233.49419776180451,-17.87441467720888,23.83587855957748,-11.492718902696026,281.26125738423934,214.77674261576064,248.019
2023-06-01,202.59,209.8,199.37,207.52,148029931,232.95699999999997,228.77161635056734,-18.905822586948023,21.40984871975033,-12.95066605105481,282.2636759067169,208.3493240932831,245.3065
2023-05-31,199.78,203.95,195.12,203.93,149356274,227.671,224.25495883228234,-20.584913742746995,20.142020999389487,-14.231728163859515,283.2457555263707,202.0102444736293,242.62800000000001
2023-05-30,200.1,204.48,197.53,201.16,128818746,221.91600000000003,220.05587540823097,-22.244984731939233,19.16885777071043,-15.294193030998684,283.76392704482447,195.98407295517546,239.87399999999997
2023-05-26,184.62,198.6,184.53,193.17,162061496,216.25,215.16753442491625,-22.679422006964746,16.598590132857836,-16.589694644500923,285.0706859757894,188.97331402421065,237.02200000000002
2023-05-25,186.54,186.78,180.58,184.47,96870719,210.257,209.58616452947692,-24.521276595744684,14.281761769291947,-18.109649530925765,287.35088600010374,181.03511399989637,234.19300000000004
2023-05-24,182.23,184.22,178.22,182.9,137605054,205.061,204.73413461502656,-22.123818445031084,13.892936395592614,-19.21936176922526,287.0519968873798,173.96400311262016,230.50799999999998
2023-05-23,186.2,192.96,185.26,185.77,156952130,201.18099999999998,201.28611013956717,-17.277463597096666,18.405008685434098,-19.640824499867563,284.03577097570536,169.09622902429473,226.56600000000003
2023-05-22,180.7,189.32,180.11,188.87,132001430,197.937,199.02863556873677,-14.658171795219374,23.232818499295774,-19.499909835842374,280.662359915493,165.410640084507,223.03650000000002
2023-05-19,177.17,181.95,176.31,180.14,136196668,194.19,195.5943381926028,-17.218877808924233,19.60346313716377,-19.863695670741862,273.73894218481973,162.90305781518026,218.321
2023-05-18,174.22,177.06,172.45,176.89,109520332,190.482,192.19354943031138,-17.32953217740805,18.413610560335414,-20.181605419785683,268.80102693573565,159.47597306426437,214.13850000000002
2023-05-17,168.41,174.5,167.185,173.86,125473558,187.11599999999999,188.8601768066184,-16.220123361603697,17.324344612192334,-20.442399605848124,263.85427746247075,156.21872253752923,210.0365
2023-05-16,165.65,169.5184,164.35,166.52,98288792,183.375,184.79832647814231,-18.34452998577943,14.944789831239603,-20.999290781756315,258.02467277335097,153.021327226649,205.523
2023-05-15,167.655,169.76,164.5499,166.35,105592510,179.894,181.44408530029824,-17.304633127858423,14.892150947029506,-21.209854628615943,250.01971612459982,151.79028387540018,200.905
2023-05-12,176.07,177.38,167.23,167.98,157849625,177.375,178.99606979115308,-13.040327172956461,17.970262523583102,-21.00309006842201,242.4561317025719,151.1688682974281,196.8125
2023-05-11,168.7,173.57,166.79,172.08,103889930,176.136,177.73860255639795,-6.716539274678802,25.500707426152786,-20.274678061792343,234.43318962222872,151.95981037777125,193.1965
2023-05-10,172.55,174.43,166.68,168.54,119840693,174.7,176.0661293643256,-7.851284855112091,23.43665014053174,-19.75532759435552,227.70774281519905,152.05325718480097,189.8805
2023-05-09,168.95,169.82,166.56,169.15,88965043,173.038,174.80865129808458,-8.946546805189215,24.60506150575054,-19.074636172923732,222.40064590092007,151.81835409907993,187.1095
2023-05-08,173.72,173.8,169.19,171.79,112249449,171.32999999999998,174.25980560752373,-9.043257266903169,29.759639996451554,-18.113357866412514,216.78851906390398,152.47848093609602,184.6335
2023-05-05,163.97,170.7899,163.51,170.06,107607259,170.322,173.49620458797398,-5.595647829465963,28.348467142846772,-17.291805257420407,211.17524438846957,153.33675561153044,182.256
2023-05-04,162.71,162.95,159.65,161.2,95108492,168.753,171.26053102652415,-8.869919158799252,22.32453499823157,-17.157861700433187,205.9991495883034,153.23585041169662,179.6175
2023-05-03,160.01,165.0,159.91,160.61,119727972,167.42800000000003,169.3240708398834,-7.6210744277004485,21.97896697611938,-16.904454506777313,201.57288607438065,152.97111392561933,177.272
2023-05-02,161.88,165.49,158.93,160.31,128259744,166.80700000000002,167.6851488689955,-3.7292817679558055,21.788419331747676,-16.537204374918417,197.15722115361004,153.02477884638992,175.09099999999998
2023-05-01,163.17,163.28,158.83,161.83,109015048,166.355,166.62057634735996,-2.7171626089570076,25.428004577147306,-15.939761059360364,192.37812041279582,153.8708795872042,173.1245
2023-04-28,160.9,165.0,157.32,164.31,122515812,165.988,166.20047155693086,-2.18478390284557,31.22960648855947,-15.092194233104237,188.93106726993543,154.43193273006457,171.6815
