Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
318,38532634.0,266.3223,265.47,267.36,268.04,263.53,1671771600000,257759,275.874,277.71125621300195,-5.20493547014608,34.60404615883556,-3.39230624584917,297.48728141026936,264.2517185897307,280.8695
319,36374805.0,264.6232,266.74,263.58,266.85,263.03,1672117200000,278819,273.674,276.4265965572745,-7.703620701729813,30.985859152872976,-4.051257203431874,298.1228589780232,261.7031410219768,279.913
320,46828043.0,261.8952,263.17,260.1,265.47,259.73,1672203600000,317267,270.819,274.94236050661317,-9.890871297419004,27.991927596798888,-4.7989679855444365,299.03480761739536,258.74419238260464,278.8895
321,44803567.0,265.6424,262.96,266.44,267.405,262.25,1672290000000,261240,268.812,274.1694186423756,-7.00499109978709,39.77191632538021,-4.824337196766066,297.23373846984805,257.85326153015194,277.5435
322,37181777.0,264.3922,263.62,266.28,266.41,262.29,1672376400000,270651,267.75100000000003,273.45219876579597,-3.8318465816750384,39.59030590557122,-4.801998690495054,294.96547273062515,257.3775272693748,276.1715
323,42044125.0,264.8934,268.65,264.48,270.155,262.13,1672722000000,357067,266.774,272.6365443325418,-3.562443026435727,37.45256147411478,-4.873363123581953,292.6291686067703,256.90683139322965,274.768
324,47692111.0,265.3002,266.64,265.74,267.45,262.53,1672808400000,346692,266.373,272.0095857568562,-1.486561631139941,39.97351795458371,-4.773225706500909,290.91795648006905,256.42804351993095,273.673
325,44613044.0,262.653,264.04,261.58,264.21,261.26,1672894800000,296073,265.577,271.061441597142,-2.953179490984654,34.824535334438124,-4.9722265825029694,290.2684018135801,255.06759818641993,272.668
326,54244039.0,265.7906,263.35,268.8,269.94,260.34,1672981200000,371092,265.11199999999997,270.8558559974018,-1.7004936917169418,47.79277485397096,-4.4955209829888645,289.3739345018124,254.78906549818763,272.0815
327,45568676.0,272.6793,270.83,270.54,275.29,269.92,1673240400000,330892,265.49,270.82714181581986,1.417004048583007,50.43368174276527,-3.9319992627657143,287.84866430009055,254.98333569990947,271.416
328,35224888.0,271.2016,269.49,272.83,272.94,268.97,1673326800000,280293,266.037,271.0092198325635,2.045930580490713,53.84765398191178,-3.2630064704225674,286.67205875182185,255.23894124817812,270.9555
329,44000036.0,275.5083,273.92,277.55,277.66,273.12,1673413200000,302815,267.434,271.6038362114213,5.300098641778598,60.1357720628216,-2.325157342855448,285.12409595024917,255.9839040497508,270.554
330,60479953.0,277.7749,278.12,279.05,280.1,273.74,1673499600000,425585,269.329,272.28076019220117,7.2856593617839245,61.965599891675126,-1.4442196236179825,282.7353370541766,257.4126629458234,270.074
331,44482936.0,279.0246,276.5,280.97,281.219,276.16,1673586000000,305926,270.78200000000004,273.07069108381927,5.453385377570946,64.29640659861829,-0.5844055173935203,281.18641104708513,258.4075889529148,269.79699999999997
332,36264738.0,281.2797,280.77,281.54,282.85,279.581,1673931600000,264393,272.308,273.84062825801755,5.730809674027358,65.00383303567234,0.1413679905304548,282.15467789558016,257.9043221044198,270.0295
333,47739549.0,280.5047,283.11,277.88,284.69,277.67,1674018000000,331927,273.648,274.20784387092505,5.066545674531146,56.95285604111985,0.4164171150802076,282.68704568761535,257.73495431238456,270.21099999999996
