Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
244,68081006.0,156.6625,155.47,157.37,157.82,154.75,1662696000000,532851,157.722,160.65303619789614,-7.445744868552606,41.183627421983594,-1.567062221822141,178.84843248209987,149.96356751790015,164.406
245,104955962.0,162.4763,159.59,163.43,164.26,159.3,1662955200000,801512,157.70300000000003,160.90548745263283,-0.11612272338344806,56.10212062290927,-1.1053158345544034,177.97903972257294,149.96596027742711,163.97250000000003
246,122651554.0,156.1544,159.9,153.84,160.54,153.37,1663041600000,1018108,156.949,160.2631704114844,-4.672202255545912,38.79827547103764,-1.495966775190169,177.00428498174142,149.00571501825857,163.005
247,87935409.0,155.2607,154.785,155.31,157.1,153.6106,1663128000000,716065,156.589,159.81288219225854,-2.265433264111758,41.852831742648846,-1.6677193152872292,175.70511335150746,148.53288664849254,162.119
248,90481110.0,153.0058,154.65,152.37,155.24,151.38,1663214400000,741143,156.104,159.13625653841683,-3.084849255819867,37.674356791294954,-2.017807837411283,173.96243606430883,148.0575639356912,161.01000000000002
249,160940131.0,150.2326,151.21,150.7,151.35,148.37,1663300800000,850351,155.378,158.36932412583346,-4.5961002785515435,35.441157485896284,-2.4023181286775923,172.04380472337985,147.63119527662016,159.8375
250,81474246.0,152.5543,149.31,154.48,154.56,149.1,1663560000000,671956,155.245,158.01574920530314,-0.8536037481548119,43.81684692263602,-2.3746573240722455,170.1450098010622,147.8259901989378,158.9855
251,107639796.0,156.1314,153.4,156.9,158.08,153.08,1663646400000,792170,155.48200000000003,157.91431745936646,1.533682780042713,48.56379824540194,-2.132875698537333,168.917529322495,147.986470677505,158.452
252,101696790.0,156.2959,157.34,153.72,158.74,153.6,1663732800000,785023,155.258,157.5330158721513,-1.4362657091561997,43.23080278008141,-2.1728145879497163,167.61366478463185,147.93933521536815,157.7765
253,86652542.0,152.5709,152.38,152.74,154.47,150.91,1663819200000,686879,155.086,157.09728715650118,-1.1135569079373293,41.66413335777307,-2.257520958994178,166.01639218432962,148.0576078156704,157.037
254,96029909.0,150.0222,151.19,150.43,151.47,148.56,1663905600000,766882,154.392,156.4911701422738,-4.4099891974328,38.052446828598285,-2.482433119111704,163.25107839823818,148.8629216017618,156.057
255,93339409.0,151.5222,149.66,150.77,153.7701,149.64,1664164800000,747666,153.12600000000003,155.97106376570346,-7.746435782903993,38.9183766474455,-2.6032340067352493,162.0668844597254,148.7621155402746,155.4145
256,84282741.0,152.1335,152.74,151.76,154.72,149.945,1664251200000,683776,152.918,155.58823978700312,-1.3520540821632947,41.561231787623896,-2.5892377334291155,161.1690762364031,148.69792376359692,154.9335
257,146661387.0,147.5981,147.64,149.84,150.6414,144.84,1664337600000,1142717,152.371,155.0656725336392,-3.5219882815015127,38.01668616283715,-2.701927402680127,160.81135056682177,148.14864943317826,154.48000000000002
258,128138237.0,142.9002,146.1,142.48,146.72,140.68,1664424000000,1067281,151.382,153.92152048512654,-6.490779024742413,27.886793951153592,-3.3465483412365415,161.81838259155515,145.66761740844484,153.743
259,124910274.0,140.3818,141.28,138.2,143.1,138.0,1664510400000,947003,150.132,152.49229135011504,-8.29462508294625,23.790769816623666,-4.154880434507362,163.05391159297864,142.45608840702135,152.755
260,114311663.0,141.2135,138.21,142.45,143.07,137.685,1664769600000,838786,148.929,151.57935577283183,-7.78741584671155,34.41865576040965,-4.401808650779287,163.2070127697763,140.96698723022368,152.087
