,v,vw,o,c,h,l,t,n
267,24733185.0,37.1044,37.98,36.97,38.36,36.215,1666065600000,139699
268,23992218.0,35.6971,36.52,35.38,36.6,35.1,1666152000000,123574
269,22763529.0,35.704,35.09,35.25,36.708,34.92,1666238400000,130637
270,28271204.0,35.2088,35.11,35.88,35.92,34.29,1666324800000,148257
271,25299696.0,34.9882,35.6353,35.43,35.68,34.055,1666584000000,142662
272,26198139.0,37.3057,35.83,37.81,37.9,35.79,1666670400000,139007
273,31298740.0,38.441,37.2731,37.89,39.498,37.06,1666756800000,175658
274,20092031.0,38.2156,38.67,37.87,38.98,37.58,1666843200000,118570
275,24616307.0,38.1693,37.83,38.89,38.935,37.145,1666929600000,129467
276,19914493.0,38.4451,38.55,38.28,39.15,37.79,1667188800000,108693
277,19113558.0,38.8229,39.47,38.29,39.75,38.27,1667275200000,115294
278,28772683.0,37.7105,38.17,36.44,39.185,36.43,1667361600000,168776
279,21939451.0,36.4447,35.58,36.2,37.3383,35.3,1667448000000,136143
280,29093123.0,35.3769,37.06,35.22,37.24,34.32,1667534400000,171971
281,20041237.0,34.9048,35.54,34.99,35.76,34.2,1667797200000,110309
282,30711507.0,35.0325,35.01,34.85,36.125,34.1,1667883600000,156702
283,30130705.0,33.1861,34.2,32.57,34.26,32.51,1667970000000,158692
284,48307116.0,36.3871,35.555,37.3,37.33,34.85,1668056400000,230447
285,44174160.0,39.4292,36.64,40.4,40.93,36.39,1668142800000,249775
286,31587757.0,39.4199,39.8,38.91,40.26,38.75,1668402000000,172503
287,31872963.0,40.3374,40.68,39.97,41.29,39.39,1668488400000,189830
288,23821234.0,38.1879,39.2399,37.91,39.32,37.7,1668574800000,141651
289,21338085.0,36.9943,36.8199,37.12,37.65,36.42,1668661200000,125319
290,20206037.0,36.7452,37.99,36.56,38.02,36.21,1668747600000,108547
291,24082187.0,35.3497,36.16,35.2,36.31,34.77,1669006800000,122845
292,19686393.0,34.9097,35.168,35.31,35.33,34.27,1669093200000,98963
293,25525884.0,36.0875,35.46,36.32,36.53,35.32,1669179600000,117866
294,8847404.0,35.9016,36.03,36.0,36.155,35.6,1669352400000,51213
295,16970881.0,35.3819,35.598,34.99,36.31,34.785,1669611600000,83565
296,17363022.0,35.1388,35.12,34.8,35.82,34.682,1669698000000,88783
297,35243849.0,36.3281,34.88,37.48,37.5,34.72,1669784400000,162110
298,24429155.0,37.6472,37.7,37.9,38.295,36.86,1669870800000,133884
299,21188014.0,37.7098,36.94,38.16,38.31,36.73,1669957200000,116821
300,25402506.0,36.6263,37.63,36.07,38.18,35.83,1670216400000,131721
301,22781726.0,34.8058,35.99,34.62,36.07,34.33,1670302800000,110100
302,22170104.0,34.3926,34.302,34.35,34.995,33.96,1670389200000,106188
303,22192166.0,34.9502,34.6,35.16,35.525,33.85,1670475600000,99457
304,19043260.0,35.15,34.91,34.65,35.71,34.6397,1670562000000,99406
305,16596330.0,34.8947,34.38,35.31,35.31,34.08,1670821200000,82045
306,40489331.0,36.3394,37.551,35.29,38.375,34.67,1670907600000,224985
307,30821614.0,35.1516,35.1,34.93,35.77,34.42,1670994000000,168154
308,24478941.0,33.5858,33.91,33.22,34.34,33.165,1671080400000,139576
309,25057112.0,33.145,33.46,33.26,33.87,32.675,1671166800000,124773
310,19565611.0,32.4459,33.11,32.22,33.26,32.02,1671426000000,99076
311,18487895.0,32.2526,31.9,32.17,32.82,31.701,1671512400000,92655
312,19604994.0,32.7067,32.45,32.71,33.19,31.992,1671598800000,88406
313,24439715.0,31.2577,32.1,31.6,32.125,30.59,1671685200000,113052
314,21706122.0,31.0055,31.41,30.97,31.65,30.685,1671771600000,101810
315,19944695.0,30.0546,30.51,29.78,30.59,29.66,1672117200000,100009
316,20305290.0,29.7874,29.758,29.64,30.28,29.43,1672203600000,96009
317,25286942.0,30.9847,30.18,31.17,31.39,29.96,1672290000000,121043
318,19036502.0,30.8121,30.48,31.24,31.28,30.24,1672376400000,93735
319,24764597.0,30.745,31.84,30.46,32.15,30.02,1672722000000,124077
320,24025505.0,31.4327,30.89,31.78,31.94,30.57,1672808400000,117696
321,15689522.0,31.0085,31.39,31.02,31.43,30.55,1672894800000,80912
322,24596242.0,31.0448,30.93,31.37,31.68,30.05,1672981200000,117397
323,25848474.0,32.9062,32.43,32.81,33.45,32.02,1673240400000,129465
324,18974595.0,33.1962,32.64,33.62,33.64,32.59,1673326800000,108078
325,22832089.0,34.3509,33.93,34.76,34.76,33.46,1673413200000,116124
326,26598214.0,34.6236,34.9,35.49,35.5,33.38,1673499600000,141780
327,26437435.0,35.6244,34.662,35.99,36.02,34.61,1673586000000,133636
328,19280780.0,36.5676,36.22,37.04,37.12,35.4701,1673931600000,104190
329,29262979.0,36.7693,37.59,35.95,38.01,35.93,1674018000000,150715
330,24398317.0,34.9236,35.3043,34.79,35.61,34.435,1674104400000,114982
331,25075104.0,35.9682,35.33,36.5,36.62,34.81,1674190800000,115203
332,24992430.0,37.5673,36.68,38.08,38.1,36.32,1674450000000,126888
333,22097689.0,37.7388,37.6,37.48,38.61,37.272,1674536400000,108129
334,24706599.0,36.6571,36.42,37.51,37.5793,35.68,1674622800000,132903
335,23479267.0,38.0388,38.802,38.27,39.17,37.32,1674709200000,124648
336,37702989.0,39.8332,38.02,40.39,40.69,37.92,1674795600000,174351
337,26755002.0,39.1157,39.7,38.51,40.08,38.4627,1675054800000,139197
338,21537892.0,39.5512,38.69,39.93,40.095,38.69,1675141200000,111977
339,37584179.0,40.639,40.1,41.69,42.055,39.238,1675227600000,202636
340,56094183.0,44.2479,43.34,44.41,45.46,43.095,1675314000000,297748
341,45729586.0,43.4021,42.42,42.85,44.63,42.1,1675400400000,246224
342,27496308.0,42.3083,42.202,42.24,42.865,41.84,1675659600000,167906
343,39347894.0,42.2042,42.28,42.98,43.18,41.3,1675746000000,226862
344,24619846.0,42.4078,42.73,41.74,43.55,41.72,1675832400000,133892
345,25579611.0,41.4108,42.54,40.5,42.68,40.2338,1675918800000,148214
346,32604457.0,39.3071,39.72,39.15,40.24,38.73,1676005200000,192329
347,20508046.0,39.6101,39.28,39.82,40.14,38.57,1676264400000,129982
348,33658563.0,39.9942,39.36,40.82,40.99,38.845,1676350800000,194055
349,35033976.0,42.3632,41.03,43.22,43.235,40.97,1676437200000,178521
350,41291141.0,42.8402,42.25,42.02,43.76,41.715,1676523600000,252104
351,46103711.0,41.3838,41.67,41.86,41.995,40.73,1676610000000,228140
352,37059565.0,39.9626,40.57,39.31,41.255,39.295,1676955600000,187450
353,26524120.0,39.966,39.61,40.27,40.45,39.175,1677042000000,148703
354,35070468.0,39.3389,40.83,39.66,40.84,38.46,1677128400000,187772
355,34285396.0,38.4036,38.54,38.44,38.95,38.05,1677214800000,170255
356,19750189.0,38.7708,39.14,38.82,39.14,38.355,1677474000000,112912
357,22610664.0,39.5751,38.9903,39.62,40.07,38.9903,1677560400000,134789
358,23423260.0,38.8503,39.46,38.7,39.68,38.48,1677646800000,123740
359,21924262.0,38.53,37.888,39.18,39.31,37.62,1677733200000,126392
360,19546263.0,40.136,39.34,40.46,40.705,39.23,1677819600000,113402
361,19469482.0,40.2764,40.67,39.62,40.98,39.61,1678078800000,111809
362,26274223.0,39.4319,39.61,38.96,40.13,38.95,1678165200000,147571
